Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
78,CCAFS,Starlink,,LEO,NASA,"Success
",,"No attempt
",7 January 2020,23:18
79,KSC,Crew Dragon in-flight abort test,,Sub-orbital,SpaceX,"Success
",,Success,19 January 2020,12:46:14
80,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Failure,29 January 2020,12:46:14
81,CCAFS,Starlink,,LEO,NASA,"Success
",,Success,17 February 2020,11:29:34
82,CCAFS,SpaceX CRS-20,,LEO,SpaceX,"Success
",,Failure,7 March 2020,11:29:34
83,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,18 March 2020,12:25:57
84,KSC,Starlink,,LEO,NASA,"Success
",,Success,22 April 2020,12:25:57
85,KSC,Crew Dragon Demo-2,,LEO,SpaceX,"Success
",,Success,30 May 2020,15:31:34
86,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,4 June 2020,15:31:34
87,CCAFS,Starlink,,LEO,U.S. Space Force,"Success
",,Success,13 June 2020,23:24:23
88,CCAFS,GPS III,,MEO,Republic of Korea Army,"Success
",,Success,30 June 2020,23:24:23
89,CCAFS,ANASIS-II,,GTO,SpaceX,"Success
",,Success,20 July 2020,00:27
90,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,7 August 2020,00:27
91,CCAFS,Starlink,,LEO,CONAE,"Success
",,Success,18 August 2020,17:17:08
92,CCAFS,SAOCOM 1B,,SSO,SpaceX,"Success
",,Success,30 August 2020,17:17:08
93,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,3 September 2020,02:13
94,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,6 October 2020,02:13
95,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,18 October 2020,16:17:08
96,CCAFS,Starlink,,LEO,USSF,"Success
",,Success,24 October 2020,16:17:08
97,CCAFS,GPS III,,MEO,NASA,"Success
",,Success,5 November 2020,17:30:00
98,KSC,Crew-1,,LEO,NASA,"Success
",,Success,16 November 2020,17:30:00
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),,LEO,SpaceX,"Success
",,Success,21 November 2020,14:00:00
100,CCAFS,Starlink,,LEO,NASA,"Success
",,Success,25 November 2020,14:00:00
101,KSC,SpaceX CRS-21,,LEO,Sirius XM,"Success
",,Success,6 December 2020,02:15
102,CCSFS,SXM-7,,GTO,NRO,"Success
",,Success,13 December 2020,02:15
103,KSC,NROL-108,,LEO,Türksat,"Success
",,Success,19 December 2020,13:02
104,CCSFS,Türksat 5A,,GTO,SpaceX,"Success
",,Success,8 January 2021,13:02
105,KSC,Starlink,,LEO,SpaceX,"Success
",,Failure,20 January 2021,15:00
106,CCSFS,Transporter-1,,SSO,NASA,Success,,Failure,24 January 2021,15:00
1,CCAFS,Dragon Spacecraft Qualification Unit,,LEO,NASA,Success,,"No attempt
",4 June 2010,18:45
2,CCAFS,Dragon,,LEO,NASA,"Success
",,No attempt,8 December 2010,15:43
3,CCAFS,Dragon,,LEO,NASA,"Success
",,"No attempt
",22 May 2012,07:44
4,CCAFS,SpaceX CRS-1,,LEO,MDA,Success,,Uncontrolled,8 October 2012,00:35
5,CCAFS,SpaceX CRS-2,,LEO,SES,Success,,No attempt,1 March 2013,15:10
6,VAFB,CASSIOPE,,Polar orbit,Thaicom,Success,,No attempt,29 September 2013,16:00
7,CCAFS,SES-8,,GTO,NASA,"Success
",,Controlled,3 December 2013,22:41
8,CCAFS,Thaicom 6,,GTO,Orbcomm,Success,,Controlled,6 January 2014,22:06
9,Cape Canaveral,SpaceX CRS-3,,LEO,AsiaSat,Success,,No attempt,18 April 2014,19:25
10,Cape Canaveral,Orbcomm-OG2,,LEO,AsiaSat,Success,,"No attempt
",14 July 2014,15:15
11,Cape Canaveral,AsiaSat 8,,GTO,NASA,Success,,Uncontrolled,5 August 2014,08:00
12,Cape Canaveral,AsiaSat 6,,GTO,NASA,Success,,Failure ,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-4,,LEO,USAF,"Success
",,Controlled,21 September 2014,05:52
14,Cape Canaveral,SpaceX CRS-5,,LEO,ABS,"Success
",,No attempt,10 January 2015,09:47
15,Cape Canaveral,DSCOVR,,HEO,NASA,"Success
",,Failure,11 February 2015,23:03
16,Cape Canaveral,ABS-3A,,GTO,SpaceX,"Success
",,Failure,2 March 2015,03:50
17,Cape Canaveral,SpaceX CRS-6,,LEO,NASA,Success,,Failure,14 April 2015,20:10
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,,GTO,NASA,Success,,"No attempt
",27 April 2015,23:03
1,CCAFS,Dragon Spacecraft Qualification Unit,,LEO,NASA,"Success
",,No attempt,4 June 2010,14:21
2,CCAFS,Dragon,,LEO,NASA,"Success
",,"No attempt
",8 December 2010,01:29
3,CCAFS,Dragon,,LEO,MDA,Success,,Uncontrolled,22 May 2012,18:42
4,CCAFS,SpaceX CRS-1,,LEO,SES,Success,,No attempt,8 October 2012,23:35
5,CCAFS,SpaceX CRS-2,,LEO,Thaicom,Success,,No attempt,1 March 2013,20:43
6,VAFB,CASSIOPE,,Polar orbit,NASA,"Success
",,Controlled,29 September 2013,05:21
7,CCAFS,SES-8,,GTO,Orbcomm,Success,,Controlled,3 December 2013,21:39
8,CCAFS,Thaicom 6,,GTO,AsiaSat,Success,,No attempt,6 January 2014,14:29
9,Cape Canaveral,SpaceX CRS-3,,LEO,AsiaSat,Success,,"No attempt
",18 April 2014,04:45
10,Cape Canaveral,Orbcomm-OG2,,LEO,NASA,Success,,Uncontrolled,14 July 2014,05:26
11,Cape Canaveral,AsiaSat 8,,GTO,NASA,Success,,Failure ,5 August 2014,17:54
12,Cape Canaveral,AsiaSat 6,,GTO,USAF,"Success
",,Controlled,7 September 2014,14:39
13,Cape Canaveral,SpaceX CRS-4,,LEO,ABS,"Success
",,No attempt,21 September 2014,06:00
14,Cape Canaveral,SpaceX CRS-5,,LEO,NASA,"Success
",,Failure,10 January 2015,22:27
15,Cape Canaveral,DSCOVR,,HEO,,"Success
",,No attempt,11 February 2015,11:15
16,Cape Canaveral,ABS-3A,,GTO,NASA,Failure,,Precluded,2 March 2015,23:21
17,Cape Canaveral,SpaceX CRS-6,,LEO,Orbcomm,"Success
",,Success,14 April 2015,21:07
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,,GTO,NASA,"Success
",,Failure,27 April 2015,19:10
19,Cape Canaveral,SpaceX CRS-7,,LEO,SES,"Success
",,Failure,28 June 2015,20:25
20,Cape Canaveral,Orbcomm-OG2,,LEO,NASA,Success,,Success,22 December 2015,23:38
21,VAFB,Jason-3,,LEO,SKY Perfect JSAT Group,"Success
",,Success,17 January 2016,16:31
22,Cape Canaveral,SES-9,,GTO,Thaicom,"Success
",,Success,4 March 2016,18:51
23,Cape Canaveral,SpaceX CRS-8,,LEO,ABS,"Success
",,Failure,8 April 2016,14:00
24,Cape Canaveral,JCSAT-14,,GTO,NASA,"Success
",,Success,6 May 2016,12:37
25,Cape Canaveral,Thaicom 8,,GTO,SKY Perfect JSAT Group,"Success
",,Success,27 May 2016,22:53:00
26,Cape Canaveral,ABS-2A,,GTO,Iridium Communications,"Success
",,Success,15 June 2016,19:34
27,Cape Canaveral,SpaceX CRS-9,,LEO,NASA,"Success
",,Success,18 July 2016,15:36
28,Cape Canaveral,JCSAT-16,,GTO,EchoStar,"Success
",,No attempt,14 August 2016,01:27
29,VAFB,Iridium NEXT,,Polar,SES,Success,,Success,14 January 2017,01:00
30,KSC,SpaceX CRS-10,,LEO,NRO,"Success
",,Success,19 February 2017,21:25
31,KSC,EchoStar 23,,GTO,Inmarsat,"Success
",,No attempt,16 March 2017,14:17
32,KSC,SES-10,,GTO,NASA,"Success
",,Success,30 March 2017,05:33
33,KSC,NROL-76,,LEO,Bulsatcom,"Success
",,Success,1 May 2017,14:14
34,KSC,Inmarsat-5 F4,,GTO,Iridium Communications,"Success
",,Success,15 May 2017,20:30
35,KSC,SpaceX CRS-11,,LEO,Intelsat,"Success
",,No attempt,3 June 2017,22:51
36,KSC,BulgariaSat-1,,GTO,NASA,"Success
",,Success,23 June 2017,20:14
37,VAFB,Iridium NEXT,,LEO,NSPO,"Success
",,Success,25 June 2017,19:47
38,KSC,Intelsat 35e,,GTO,USAF,"Success
",,Success,5 July 2017,04:45
39,KSC,SpaceX CRS-12,,LEO,Iridium Communications,"Success
",,Success,14 August 2017,09:42
40,VAFB,Formosat-5,,SSO,SES S.A.,"Success
",,Success,24 August 2017,05:50
41,KSC,Boeing X-37B,,LEO,KT Corporation,"Success
",,Success,7 September 2017,11:39
42,VAFB,Iridium NEXT,,Polar,NASA,"Success
",,Success,9 October 2017,05:18
43,KSC,SES-11,,GTO,Iridium Communications,Success,,Controlled,11 October 2017,04:45
44,KSC,Koreasat 5A,,GTO,Northrop Grumman,Success,,Success,30 October 2017,02:22
45,Cape Canaveral,SpaceX CRS-13,,LEO,SES,Success,,Controlled,15 December 2017,20:46
46,VAFB,Iridium NEXT,,Polar,Hisdesat,Success,,No attempt,23 December 2017,18:34:05
47,CCAFS,Zuma,,LEO,Hispasat,Success,,No attempt,8 January 2018,18:16
48,CCAFS,GovSat-1,,GTO,Iridium Communications,Success,,No attempt,31 January 2018,13:51
49,VAFB,Paz,,SSO,NASA,Success,,No attempt,22 February 2018,15:31
50,CCAFS,Hispasat 30W-6,,GTO,NASA,Success,,Success,6 March 2018,01:45
51,VAFB,Iridium NEXT,,Polar,Thales-Alenia,Success,,Success,30 March 2018,07:49
52,CCAFS,SpaceX CRS-14,,LEO,Iridium Communications,Success,,No attempt,2 April 2018,06:48
53,CCAFS,Transiting Exoplanet Survey Satellite,,HEO,SES,Success,,No attempt,18 April 2018,02:30
54,KSC,Bangabandhu-1,,GTO,NASA,Success,,No attempt,11 May 2018,14:17
55,VAFB,Iridium NEXT,,Polar,Telesat,Success,,Success,22 May 2018,22:01
56,CCAFS,SES-12,,GTO,Iridium Communications,Success,,Success,4 June 2018,23:23
57,CCAFS,SpaceX CRS-15,,LEO,Telkom Indonesia,Success,,Success,29 June 2018,14:56
58,CCAFS,Telstar 19V,,GTO,Telesat,Success,,Success,22 July 2018,17:29
59,VAFB,Iridium NEXT,,Polar,CONAE,Success,,Success,25 July 2018,00:10
60,CCAFS,Merah Putih,,GTO,Es'hailSat,Success,,Success,7 August 2018,02:19:21
61,CCAFS,Telstar 18V,,GTO,Spaceflight Industries,Success,,Success,10 September 2018,15:30
62,VAFB,SAOCOM 1A,,SSO,NASA,"Success
",,Failure,8 October 2018,14:07
63,KSC,Es'hail 2,,GTO,USAF,Success,,No attempt,15 November 2018,15:05
64,VAFB,SSO-A,,SSO,Iridium Communications,"Success
",,Success,3 December 2018,04:50
65,CCAFS,SpaceX CRS-16,,LEO,PSN,"Success
",,Success,5 December 2018,12:16
66,CCAFS,GPS III,,MEO,NASA,"Success
",,Success,23 December 2018,19:30
67,VAFB,Iridium NEXT,,Polar,NASA,"Success
",,Success,11 January 2019,19:22
68,CCAFS,Nusantara Satu,,GTO,SpaceX,"Success
",,Success,22 February 2019,01:25
69,KSC,Crew Dragon Demo-1,,LEO,Canadian Space Agency,"Success
",,Success,2 March 2019,09:21
70,CCAFS,SpaceX CRS-17,,LEO,NASA,"Success
",,Success,4 May 2019,20:10:46
71,CCAFS,Starlink,,LEO,Spacecom,"Success
",,No attempt,24 May 2019,21:30
72,VAFB,RADARSAT Constellation,,SSO,SpaceX,"Success
",,Success,12 June 2019,05:12
73,CCAFS,SpaceX CRS-18,,LEO,NASA,"Success
",,Success,25 July 2019,14:31
74,CCAFS,AMOS-17,,GTO,Sky Perfect JSAT,"Success
",,Success,6 August 2019,23:18
75,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,11 November 2019,12:46:14
76,CCAFS,SpaceX CRS-19,,LEO,NASA,"Success
",,"No attempt
",5 December 2019,11:29:34
77,CCAFS,JCSat-18,,GTO,SpaceX,"Success
",,Success,17 December 2019,12:25:57
78,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Failure,7 January 2020,15:31:34
79,KSC,Crew Dragon in-flight abort test,,Sub-orbital,NASA,"Success
",,Success,19 January 2020,23:24:23
80,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Failure,29 January 2020,00:27
81,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,17 February 2020,17:17:08
82,CCAFS,SpaceX CRS-20,,LEO,NASA,"Success
",,Success,7 March 2020,02:13
83,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,18 March 2020,16:17:08
84,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,22 April 2020,17:30:00
85,KSC,Crew Dragon Demo-2,,LEO,U.S. Space Force,"Success
",,Success,30 May 2020,14:00:00
86,CCAFS,Starlink,,LEO,Republic of Korea Army,"Success
",,Success,4 June 2020,02:15
87,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,13 June 2020,13:02
88,CCAFS,GPS III,,MEO,SpaceX,"Success
",,Success,30 June 2020,15:00
89,CCAFS,ANASIS-II,,GTO,CONAE,"Success
",,Success,20 July 2020,18:45
90,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,7 August 2020,15:43
91,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,18 August 2020,07:44
92,CCAFS,SAOCOM 1B,,SSO,SpaceX,"Success
",,Success,30 August 2020,00:35
93,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,3 September 2020,15:10
94,KSC,Starlink,,LEO,USSF,"Success
",,Success,6 October 2020,16:00
95,KSC,Starlink,,LEO,NASA,"Success
",,Success,18 October 2020,22:41
96,CCAFS,Starlink,,LEO,NASA,"Success
",,Success,24 October 2020,22:06
97,CCAFS,GPS III,,MEO,SpaceX,"Success
",,Success,5 November 2020,19:25
98,KSC,Crew-1,,LEO,NASA,"Success
",,Success,16 November 2020,15:15
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),,LEO,Sirius XM,"Success
",,Success,21 November 2020,08:00
100,CCAFS,Starlink,,LEO,NRO,"Success
",,Success,25 November 2020,05:00
101,KSC,SpaceX CRS-21,,LEO,Türksat,"Success
",,Success,6 December 2020,05:52
102,CCSFS,SXM-7,,GTO,SpaceX,"Success
",,Success,13 December 2020,09:47
103,KSC,NROL-108,,LEO,Customer not available,"Success
",,Success,19 December 2020,23:03
104,CCSFS,Türksat 5A,,GTO,SpaceX,"Success
",,Success,8 January 2021,03:50
105,KSC,Starlink,,LEO,SpaceX,"Success
",,Failure,20 January 2021,20:10
106,CCSFS,Transporter-1,,SSO,SpaceX,"Success
",,Success,24 January 2021,23:03
107,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,4 February 2021,18:45
108,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,16 February 2021,15:43
109,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,4 March 2021,07:44
110,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,11 March 2021,00:35
111,KSC,Starlink,,LEO,NASA,"Success
",,Success,14 March 2021,15:10
112,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,24 March 2021,16:00
113,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,7 April 2021,22:41
114,KSC,Crew-2,,LEO,SpaceX,"Success
",,Success,23 April 2021,22:06
115,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,29 April 2021,19:25
116,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,4 May 2021,15:15
117,CCSFS,Starlink,,LEO,NASA,"Success
",,Success,9 May 2021,08:00
118,KSC,Starlink,,LEO,Sirius XM,"Success
",,Success,15 May 2021,05:00
119,CCSFS,Starlink,,LEO,,,,,26 May 2021,05:52
120,KSC,SpaceX CRS-22,,LEO,,,,,3 June 2021,09:47
121,CCSFS,SXM-8,,GTO,,,,,6 June 2021,23:03
,,,,,,,,,,03:50
,,,,,,,,,,20:10
,,,,,,,,,,23:03
,,,,,,,,,,14:21
,,,,,,,,,,01:29
,,,,,,,,,,18:42
,,,,,,,,,,23:35
,,,,,,,,,,20:43
,,,,,,,,,,05:21
,,,,,,,,,,21:39
,,,,,,,,,,14:29
,,,,,,,,,,04:45
,,,,,,,,,,05:26
,,,,,,,,,,17:54
,,,,,,,,,,14:39
,,,,,,,,,,06:00
,,,,,,,,,,22:27
,,,,,,,,,,11:15
,,,,,,,,,,23:21
,,,,,,,,,,21:07
,,,,,,,,,,19:10
,,,,,,,,,,20:25
,,,,,,,,,,23:38
,,,,,,,,,,16:31
,,,,,,,,,,18:51
,,,,,,,,,,14:00
,,,,,,,,,,12:37
,,,,,,,,,,22:53:00
,,,,,,,,,,19:34
,,,,,,,,,,15:36
,,,,,,,,,,01:27
,,,,,,,,,,01:00
,,,,,,,,,,21:25
,,,,,,,,,,14:17
,,,,,,,,,,05:33
,,,,,,,,,,14:14
,,,,,,,,,,20:30
,,,,,,,,,,22:51
,,,,,,,,,,20:14
,,,,,,,,,,19:47
,,,,,,,,,,04:45
,,,,,,,,,,09:42
,,,,,,,,,,05:50
,,,,,,,,,,11:39
,,,,,,,,,,05:18
,,,,,,,,,,04:45
,,,,,,,,,,02:22
,,,,,,,,,,20:46
,,,,,,,,,,18:34:05
,,,,,,,,,,18:16
,,,,,,,,,,13:51
,,,,,,,,,,15:31
,,,,,,,,,,01:45
,,,,,,,,,,07:49
,,,,,,,,,,06:48
,,,,,,,,,,02:30
,,,,,,,,,,14:17
,,,,,,,,,,22:01
,,,,,,,,,,23:23
,,,,,,,,,,14:56
,,,,,,,,,,17:29
,,,,,,,,,,00:10
,,,,,,,,,,02:19:21
,,,,,,,,,,15:30
,,,,,,,,,,14:07
,,,,,,,,,,15:05
,,,,,,,,,,04:50
,,,,,,,,,,12:16
,,,,,,,,,,19:30
,,,,,,,,,,19:22
,,,,,,,,,,01:25
,,,,,,,,,,09:21
,,,,,,,,,,20:10:46
,,,,,,,,,,21:30
,,,,,,,,,,05:12
,,,,,,,,,,14:31
,,,,,,,,,,23:18
,,,,,,,,,,12:46:14
,,,,,,,,,,11:29:34
,,,,,,,,,,12:25:57
,,,,,,,,,,15:31:34
,,,,,,,,,,23:24:23
,,,,,,,,,,00:27
,,,,,,,,,,17:17:08
,,,,,,,,,,02:13
,,,,,,,,,,16:17:08
,,,,,,,,,,17:30:00
,,,,,,,,,,14:00:00
,,,,,,,,,,02:15
,,,,,,,,,,13:02
,,,,,,,,,,15:00
,,,,,,,,,,06:19
,,,,,,,,,,03:59:37
,,,,,,,,,,08:24
,,,,,,,,,,08:13:29
,,,,,,,,,,10:01
,,,,,,,,,,08:28
,,,,,,,,,,16:34
,,,,,,,,,,9:49
,,,,,,,,,,03:44
,,,,,,,,,,19:01
,,,,,,,,,,06:42
,,,,,,,,,,22:56
,,,,,,,,,,18:59
,,,,,,,,,,17:29
,,,,,,,,,,04:26
